id,grouppatrol,officername,location,phone,date,time
40,Group Patrol 40,Patrol 40,"9.51729834,76.32760831",9847041273,30/05/2024,03:30
41,Group Patrol 41,Patrol 41,"9.48341529,76.32070573",9847041274,31/05/2024,04:30
42,Group Patrol 42,Patrol 42,"9.49273048,76.32972336",9847041275,01/06/2024,05:30
43,Group Patrol 43,Patrol 43,"9.47223563,76.33534785",9847041276,02/06/2024,06:30
44,Group Patrol 44,Patrol 44,"9.47241808,76.33123396",9847041277,03/06/2024,07:30
45,Group Patrol 45,Patrol 45,"9.42439218,76.34834242",9847041278,04/06/2024,08:30
46,Group Patrol 46,Patrol 46,"9.42271113,76.34737041",9847041279,05/06/2024,09:30
47,Group Patrol 47,Patrol 47,"9.3932164,76.35346757",9847041280,06/06/2024,10:30
48,Group Patrol 48,Patrol 48,"9.38245435,76.36999803",9847041281,07/06/2024,11:30
49,Group Patrol 49,Patrol 49,"9.38917388,76.41771321",9847041282,08/06/2024,12:30
50,Group Patrol 50,Patrol 50,"9.35610781,76.36453634",9847041283,09/06/2024,13:30
51,Group Patrol 51,Patrol 51,"9.36393278,76.36172707",9847041284,10/06/2024,14:30
52,Group Patrol 52,Patrol 52,"9.48124256,76.38771305",9847041285,11/06/2024,15:30
53,Group Patrol 53,Patrol 53,"9.42625232,76.38495525",9847041286,12/06/2024,16:30
54,Group Patrol 54,Patrol 54,"9.40779419,76.48985243",9847041287,13/06/2024,17:30
55,Group Patrol 55,Patrol 55,"9.41435372,76.41566353",9847041288,14/06/2024,18:30
56,Group Patrol 56,Patrol 56,"9.42277045,76.4969085",9847041289,15/06/2024,19:30
57,Group Patrol 57,Patrol 57,"9.40388001,76.46864001",9847041290,16/06/2024,20:30
58,Group Patrol 58,Patrol 58,"9.41028132,76.464947",9847041291,17/06/2024,21:30
59,Group Patrol 59,Patrol 59,"9.48581066,76.40214956",9847041292,18/06/2024,22:30
60,Group Patrol 60,Patrol 60,"9.49885235,76.38212456",9847041293,19/06/2024,23:30
61,Group Patrol 61,Patrol 61,"9.48019817,76.45637681",9847041294,20/06/2024,00:30
62,Group Patrol 62,Patrol 62,"9.44218627293123,76.421440243721",9847041295,21/06/2024,01:30
63,Group Patrol 63,Patrol 63,"9.4317969,76.42147652",9847041296,22/06/2024,02:30
64,Group Patrol 64,Patrol 64,"9.45863307,76.49673047",9847041297,23/06/2024,03:30
65,Group Patrol 65,Patrol 65,"9.47790336,76.45472858",9847041298,24/06/2024,04:30
66,Group Patrol 66,Patrol 66,"9.36092934,76.48641137",9847041299,25/06/2024,05:30
67,Group Patrol 67,Patrol 67,"9.35191456,76.48627603",9847041300,26/06/2024,06:30
68,Group Patrol 68,Patrol 68,"9.36325009,76.45093677",9847041301,27/06/2024,07:30
69,Group Patrol 69,Patrol 69,"9.28200458,76.53100841",9847041302,28/06/2024,08:30
70,Group Patrol 70,Patrol 70,"9.27265407,76.5129407",9847041303,29/06/2024,09:30
71,Group Patrol 71,Patrol 71,"9.30240089,76.53303876",9847041304,30/06/2024,10:30
72,Group Patrol 72,Patrol 72,"9.32331709,76.50617625",9847041305,01/07/2024,11:30
73,Group Patrol 73,Patrol 73,"9.31848315,76.6140172",9847041306,02/07/2024,12:30
74,Group Patrol 74,Patrol 74,"9.30242028,76.61329649",9847041307,03/07/2024,13:30
75,Group Patrol 75,Patrol 75,"9.28627246,76.60833967",9847041308,04/07/2024,14:30
76,Group Patrol 76,Patrol 76,"9.29307083,76.64858249",9847041309,05/07/2024,15:30
77,Group Patrol 77,Patrol 77,"9.32114026,76.62380322",9847041310,06/07/2024,16:30
78,Group Patrol 78,Patrol 78,"9.32893798,76.60743998",9847041311,07/07/2024,17:30
79,Group Patrol 79,Patrol 79,"9.3390192,76.56968212",9847041312,08/07/2024,18:30
80,Group Patrol 80,Patrol 80,"9.24727101,76.61728879",9847041313,09/07/2024,19:30
81,Group Patrol 81,Patrol 81,"9.27784451,76.6164641",9847041314,10/07/2024,20:30
82,Group Patrol 82,Patrol 82,"9.2384351,76.5043976",9847041315,11/07/2024,21:30
83,Group Patrol 83,Patrol 83,"9.226944,76.514722",9847041316,12/07/2024,22:30
84,Group Patrol 84,Patrol 84,"9.2531674,76.54536118",9847041317,13/07/2024,23:30
85,Group Patrol 85,Patrol 85,"9.26784409,76.56400433",9847041318,14/07/2024,00:30
86,Group Patrol 86,Patrol 86,"9.23591858,76.58846136",9847041319,15/07/2024,01:30
87,Group Patrol 87,Patrol 87,"9.1902823,76.5462767",9847041320,16/07/2024,02:30
88,Group Patrol 88,Patrol 88,"9.23133876,76.59855257",9847041321,17/07/2024,03:30
89,Group Patrol 89,Patrol 89,"9.21377002,76.56052032",9847041322,18/07/2024,04:30
90,Group Patrol 90,Patrol 90,"9.20727792,76.55571895",9847041323,19/07/2024,05:30
91,Group Patrol 91,Patrol 91,"9.19754802,76.59789698",9847041324,20/07/2024,06:30
92,Group Patrol 92,Patrol 92,"9.22675251,76.6226361",9847041325,21/07/2024,07:30
93,Group Patrol 93,Patrol 93,"9.17911502,76.6835605",9847041326,22/07/2024,08:30
94,Group Patrol 94,Patrol 94,"9.15951715,76.62351815",9847041327,23/07/2024,09:30
95,Group Patrol 95,Patrol 95,"9.1806349,76.5378399",9847041328,24/07/2024,10:30
96,Group Patrol 96,Patrol 96,"9.16009622,76.5778069",9847041329,25/07/2024,11:30
97,Group Patrol 97,Patrol 97,"9.14138137,76.58860922",9847041330,26/07/2024,12:30
98,Group Patrol 98,Patrol 98,"9.13232561,76.5610161",9847041331,27/07/2024,13:30
99,Group Patrol 99,Patrol 99,"9.31660084,76.40903366",9847041332,28/07/2024,14:30
100,Group Patrol 100,Patrol 100,"9.29652613,76.43516091",9847041333,29/07/2024,15:30
101,Group Patrol 101,Patrol 101,"9.288909,76.443841",9847041334,30/07/2024,16:30
102,Group Patrol 102,Patrol 102,"9.28156097,76.49058781",9847041335,31/07/2024,17:30
103,Group Patrol 103,Patrol 103,"9.276511,76.468456",9847041336,01/08/2024,18:30
104,Group Patrol 104,Patrol 104,"9.191105,76.461674",9847041337,02/08/2024,19:30
105,Group Patrol 105,Patrol 105,"9.231437,76.442414",9847041338,03/08/2024,20:30
106,Group Patrol 106,Patrol 106,"9.24891653,76.45163715",9847041339,04/08/2024,21:30
107,Group Patrol 107,Patrol 107,"9.193672,76.49461784",9847041340,05/08/2024,22:30
108,Group Patrol 108,Patrol 108,"9.24848183,76.47329752",9847041341,06/08/2024,23:30
109,Group Patrol 109,Patrol 109,"9.20849402,76.51553939",9847041342,07/08/2024,00:30
110,Group Patrol 110,Patrol 110,"9.193672,76.4854874",9847041343,08/08/2024,01:30
111,Group Patrol 111,Patrol 111,"9.1758241,76.5045057",9847041344,09/08/2024,02:30
112,Group Patrol 112,Patrol 112,"9.1757753,76.5241597",9847041345,10/08/2024,03:30
113,Group Patrol 113,Patrol 113,"9.1592716,76.4863848",9847041346,11/08/2024,04:30
114,Group Patrol 114,Patrol 114,"9.1498632,76.5081238",9847041347,12/08/2024,05:30
115,Group Patrol 115,Patrol 115,"9.1898731,76.4806067",9847041348,13/08/2024,06:30
116,Group Patrol 116,Patrol 116,"9.27057665,76.42856671",9847041349,14/08/2024,07:30
117,Group Patrol 117,Patrol 117,"9.29677159,76.39245812",9847041350,15/08/2024,08:30
118,Group Patrol 118,Patrol 118,"9.22656907,76.42637209",9847041351,16/08/2024,09:30
119,Group Patrol 119,Patrol 119,"9.2992956,76.46036168",9847041352,17/08/2024,10:30
120,Group Patrol 120,Patrol 120,"9.30872873,76.45656144",9847041353,18/08/2024,11:30
